2026-07-25 23:26:05,323 | INFO | db_connect | get_db_connection | Line:62 | Successfully connected to PostgreSQL!
2026-07-25 23:26:05,325 | INFO | main | run_etl | Line:37 | Connection Established Succesfully
2026-07-25 23:26:10,533 | INFO | main | run_etl | Line:59 | DelhiAPI data fetched succesfully
2026-07-25 23:26:10,534 | INFO | transform | transform_record | Line:22 | Record Fileds Extracted Succefulyy
2026-07-25 23:26:10,539 | INFO | db_connect | insert_into_db | Line:95 | Record inserted successfully
2026-07-25 23:26:11,791 | INFO | main | run_etl | Line:59 | MumbaiAPI data fetched succesfully
2026-07-25 23:26:11,791 | INFO | transform | transform_record | Line:22 | Record Fileds Extracted Succefulyy
2026-07-25 23:26:11,794 | INFO | db_connect | insert_into_db | Line:95 | Record inserted successfully
2026-07-25 23:26:12,744 | INFO | main | run_etl | Line:59 | HyderabadAPI data fetched succesfully
2026-07-25 23:26:12,745 | INFO | transform | transform_record | Line:22 | Record Fileds Extracted Succefulyy
2026-07-25 23:26:12,747 | INFO | db_connect | insert_into_db | Line:95 | Record inserted successfully
2026-07-25 23:26:16,332 | INFO | main | run_etl | Line:59 | BengaluruAPI data fetched succesfully
2026-07-25 23:26:16,333 | INFO | transform | transform_record | Line:22 | Record Fileds Extracted Succefulyy
2026-07-25 23:26:16,337 | INFO | db_connect | insert_into_db | Line:95 | Record inserted successfully
2026-07-25 23:33:52,583 | INFO | db_connect | get_db_connection | Line:66 | Successfully connected to PostgreSQL!
2026-07-25 23:33:52,585 | INFO | main | run_etl | Line:38 | Connection Established Succesfully
2026-07-25 23:33:53,598 | INFO | main | run_etl | Line:60 | DelhiAPI data fetched succesfully
2026-07-25 23:33:53,599 | INFO | transform | transform_record | Line:22 | Record Fileds Extracted Succefulyy
2026-07-25 23:33:53,601 | INFO | db_connect | insert_into_db | Line:99 | Record inserted successfully
2026-07-25 23:33:54,289 | INFO | main | run_etl | Line:60 | MumbaiAPI data fetched succesfully
2026-07-25 23:33:54,289 | INFO | transform | transform_record | Line:22 | Record Fileds Extracted Succefulyy
2026-07-25 23:33:54,292 | INFO | db_connect | insert_into_db | Line:99 | Record inserted successfully
2026-07-25 23:33:54,968 | INFO | main | run_etl | Line:60 | HyderabadAPI data fetched succesfully
2026-07-25 23:33:54,968 | INFO | transform | transform_record | Line:22 | Record Fileds Extracted Succefulyy
2026-07-25 23:33:54,971 | INFO | db_connect | insert_into_db | Line:99 | Record inserted successfully
2026-07-25 23:33:56,107 | INFO | main | run_etl | Line:60 | BengaluruAPI data fetched succesfully
2026-07-25 23:33:56,108 | INFO | transform | transform_record | Line:22 | Record Fileds Extracted Succefulyy
2026-07-25 23:33:56,111 | INFO | db_connect | insert_into_db | Line:99 | Record inserted successfully
2026-07-25 23:33:57,237 | INFO | main | run_etl | Line:60 | ChennaiAPI data fetched succesfully
2026-07-25 23:33:57,238 | INFO | transform | transform_record | Line:22 | Record Fileds Extracted Succefulyy
2026-07-25 23:33:57,241 | INFO | db_connect | insert_into_db | Line:99 | Record inserted successfully
2026-07-25 23:34:16,284 | INFO | main | run_etl | Line:60 | KolkataAPI data fetched succesfully
2026-07-25 23:34:16,285 | INFO | transform | transform_record | Line:22 | Record Fileds Extracted Succefulyy
2026-07-25 23:34:16,289 | INFO | db_connect | insert_into_db | Line:99 | Record inserted successfully
2026-07-25 23:34:16,305 | INFO | main | <module> | Line:92 | Scheduler started. Running every 3 minutes.
2026-07-26 00:20:29,099 | INFO | db_connect | get_db_connection | Line:66 | Successfully connected to PostgreSQL!
2026-07-26 00:20:29,106 | INFO | main | run_etl | Line:38 | Connection Established Succesfully
2026-07-26 00:20:41,544 | INFO | db_connect | get_db_connection | Line:66 | Successfully connected to PostgreSQL!
2026-07-26 00:20:41,547 | INFO | main | run_etl | Line:38 | Connection Established Succesfully
2026-07-26 00:20:47,745 | INFO | main | run_etl | Line:60 | DelhiAPI data fetched succesfully
2026-07-26 00:20:47,746 | INFO | transform | transform_record | Line:22 | Record Fileds Extracted Succefulyy
2026-07-26 00:20:47,754 | INFO | db_connect | insert_into_db | Line:99 | Record inserted successfully
2026-07-26 00:20:51,652 | INFO | main | run_etl | Line:60 | MumbaiAPI data fetched succesfully
2026-07-26 00:20:51,653 | INFO | transform | transform_record | Line:22 | Record Fileds Extracted Succefulyy
2026-07-26 00:20:51,656 | INFO | db_connect | insert_into_db | Line:99 | Record inserted successfully
2026-07-26 00:20:52,848 | INFO | main | run_etl | Line:60 | HyderabadAPI data fetched succesfully
2026-07-26 00:20:52,848 | INFO | transform | transform_record | Line:22 | Record Fileds Extracted Succefulyy
2026-07-26 00:20:52,851 | INFO | db_connect | insert_into_db | Line:99 | Record inserted successfully
